study,instrument,name,item,text,text_de,answer_list,instruction,instruction_de,description,description_de,filter,goto,concept,scale
gip,Recruitment-18-I,Page 8,0,"Wir möchten Sie bitten, im Folgenden noch einige Fragen zu Ihrer Person zu beantworten.

Geben Sie bitte Ihr Geschlecht an.",,1-2-gender,,,,,,,,cat
gip,Recruitment-18-I,Page 9,0,In welchem Jahr wurden Sie geboren?,,,,,,,,,,int
gip,Recruitment-18-I,Page 10,0,Welcher ist Ihr höchster allgemeinbildender Schulabschluss?,,1-7-schulabschluss,Bei dieser Frage können Sie nur eine Antwort geben.,,Bei dieser Frage können Sie nur eine Antwort geben.,,,,,cat
gip,Recruitment-18-I,Page 11,0,Welchen höchsten beruflichen Ausbildungs- oder (Fach-)Hochschulabschluss haben Sie?,,1-12-profession,Bei dieser Frage können Sie nur eine Antwort geben.,,Bei dieser Frage können Sie nur eine Antwort geben.,,,,,cat
gip,Recruitment-18-I,Page 12,0,"[wenn Teil 1 online beantwortet: Vielen Dank für Ihre Teilnahme an unserer Studie! 

Diese kurze Befragung ist der Anfang von „Gesellschaft im Wandel“ und besteht aus zwei kurzen Teilen. Den ersten Teil haben Sie nun bereits fast beendet. Zum zweiten Teil möchten wir Sie gerne per E-Mail einladen. Deshalb fragen wir Sie nun nach Ihrer E-Mail-Adresse. In unserer E-Mail schicken wir Ihnen einen Link, also eine Internet-Adresse, unter der wir den zweiten Teil der Befragung für Sie hinterlegt haben.]

[wenn Papierfragebogen zurückgeschickt: Wir freuen uns sehr, dass Sie sich für „Gesellschaft im Wandel“ anmelden möchten!
Zu den nächsten Befragungen möchten wir Sie gerne per E-Mail einladen. Deshalb fragen wir Sie nun nach Ihrer E-Mail-Adresse. In unserer E-Mail schicken wir Ihnen einen Link zur Anmeldung, also eine Internet-Adresse, unter der wir die nächste Befragung für Sie hinterlegt haben.]

Wir nutzen Ihre E-Mail-Adresse ausschließlich dazu, Sie zur Studie einzuladen und Sie gegebenenfalls über „Gesellschaft im Wandel“ auf dem Laufenden zu halten. Ihre Teilnahme ist immer freiwillig. Sie verpflichten sich zu nichts.

Tragen Sie hier bitte eine E-Mail-Adresse ein, die Sie regelmäßig abrufen, damit wir Ihnen die Einladung [wenn Teil 1 online beantwortet: zur Fortsetzung der Studie] dorthin zuschicken können.",,,,,,,,,,txt
gip,Recruitment-18-I,Page 12,1,E-Mail-Adresse:,,,,,,,,,,chr
gip,Recruitment-18-I,Page 12,2,"Wiederholen Sie bitte Ihre E-Mail-Adresse zur Sicherheit noch einmal:
E-Mail-Adresse:",,,,,,,,,,chr
gip,Recruitment-18-I,Page 12,3,Ich nutze keine E-Mail-Adresse.,,,,,,,,,,bin
gip,Recruitment-18-I,Page 13,0,"Gerne schicken wir Ihnen den Link [wenn Teil 1 online beantwortet: zum zweiten Teil der Befragung] [wenn Papierfragebogen zurückgeschickt: zur Anmeldung] auch per SMS zu. Falls Sie ein Smartphone nutzen, brauchen Sie die Internet-Adresse nur anzuklicken, der Fragebogen öffnet sich dann automatisch.

Nennen Sie uns bitte eine Mobilfunknummer (Smartphone), an die wir den Link [wenn Teil 1 online beantwortet: zur Fortsetzung der Befragung] [wenn Papierfragebogen zurückgeschickt: zur Anmeldung] schicken können.",,,,,,,wenn Teil 1 online oder auf Papier ausgefüllt und wenn RQD3007 = 1 (wenn Befragte/r keine E-Mail-Adresse nutzt),,,txt
gip,Recruitment-18-I,Page 13,1,Mobilfunknummer:,,,,,,,,,,int
gip,Recruitment-18-I,Page 13,2,"Wiederholen Sie bitte Ihre Mobilfunknummer zur Sicherheit noch einmal:
Mobilfunknummer:",,,,,,,,,,int
gip,Recruitment-18-I,Page 13,3,Ich nutze kein Smartphone.,,,,,,,,,,bin
gip,Recruitment-18-I,Page 14,0,"Vielen Dank für Ihre Teilnahme am ersten Teil unserer Befragung. Ihre Angaben sind für unsere Studie von größtem Wert. Leider können wir Sie nicht zu weiteren Teilen unserer Studie einladen, wenn Sie weder eine E-Mail-Adresse noch ein Smartphone nutzen. 
Bei Fragen rufen Sie bitte unsere Hotline 0800-5892604 an (Montag bis Samstag 8:00 bis 20:00 Uhr sowie Sonntag 10:00 bis 18:00 Uhr, kostenlos aus dem deutschen Fest- und Mobilfunknetz) oder schicken Sie uns eine E-Mail an info@gesellschaft-im-wandel.de. 
Wir helfen Ihnen gerne weiter!
Ihr Forschungsteam der Universität Mannheim",,,,,,,wenn Teil 1 online oder auf Papier ausgefüllt und wenn (RQD3007 = 1 und RQD3007_1 = 1) (wenn Befragte/r keine E-Mail-Adresse und kein Smartphone nutzt),,,txt
gip,Recruitment-18-I,Page 15,0,"Haben Sie noch Anmerkungen? 
Hier können Sie uns diese mitteilen.",,,,,,,wenn Teil 1 online ausgefüllt und wenn (RQA3007 und RQA3008 != .) oder wenn (RQA3007_1 und RQA3008_1 != .) (wenn Befragter eine E-Mail-Adresse oder Mobilfunknummer angegeben hat),,,chr
gip,Recruitment-18-I,Page 16,0,"Wir freuen uns über Ihre Teilnahme und möchten uns an dieser Stelle bei Ihnen bedanken!
Wir haben eine E-Mail mit dem Link [wenn Teil 1 online beantwortet: zum zweiten Teil der Befragung] [wenn Papierfragebogen zurückgeschickt: zur Anmeldung] an Ihre E-Mail-Adresse geschickt. Es kann ein paar Minuten dauern, bis diese E-Mail in Ihrem E-Mail-Postfach angekommen ist. 
Wenn Sie Fragen haben, können Sie uns gerne eine E-Mail schreiben oder unsere Hotline anrufen: 
info@gesellschaft-im-wandel.de
0800-5892604 (Montag bis Samstag 8:00 bis 20:00 Uhr sowie Sonntag 10:00 bis 18:00 Uhr, kostenlos aus dem deutschen Fest- und Mobilfunknetz)
Ihr Forschungsteam der Universität Mannheim",,,,,,,wenn Teil 1 online oder auf Papier ausgefüllt und wenn (RQA3007 und RQA3008 != .) (wenn Befragte/r E-Mail-Adresse angegeben hat),,,txt
gip,Recruitment-18-I,Page 17 Outro,0,"Wir freuen uns über Ihre Teilnahme und möchten uns an dieser Stelle bei Ihnen bedanken!
Wir haben Ihnen eine SMS mit dem Link [wenn Teil 1 online beantwortet: zum zweiten Teil der Befragung] [wenn Papierfragebogen zurückgeschickt: zur Anmeldung] zugeschickt. 
Wenn Sie Fragen haben, können Sie uns gerne eine E-Mail schreiben oder unsere Hotline anrufen: 
info@gesellschaft-im-wandel.de 
0800-5892604 (Montag bis Samstag 8:00 bis 20:00 Uhr sowie Sonntag 10:00 bis 18:00 Uhr, kostenlos aus dem deutschen Fest- und Mobilfunknetz)
Ihr Forschungsteam der Universität Mannheim",,,,,,,wenn Teil 1 online oder auf Papier ausgefüllt und wenn (RQA3007_1 und RQA3008_1 != .) (wenn Befragte/r Mobilfunknummer angegeben hat),,,txt
gip,Recruitment-18-II,Page 1 Intro,0,"Vielen Dank, dass Sie unsere Befragung fortsetzen. 
Wir laden Sie herzlich dazu ein, sich bei „Gesellschaft im Wandel“ anzumelden. Wenn Sie angemeldet   sind, schicken wir Ihnen alle zwei Monate eine Einladung zu unseren Befragungen. Sie gehen dabei keinerlei Verpflichtungen ein und können jedes Mal neu entscheiden, ob Sie teilnehmen möchten oder nicht. Selbstverständlich können Sie Ihre Teilnahme jederzeit beenden. 
Unsere Datenschutzerklärung finden Sie hier.

Möchten Sie sich für unsere Studie anmelden?",,1-2-ja-nein,,,,,"wenn Gruppe 1a , 1b, 2 oder (Gruppe 3, 4, 5 und Teil 1 online ausgefüllt wurde) 
[Gruppe 1a: bonus 50€; Gruppe 1b: bonus 20€; Gruppe 2: online only; Gruppe 3; paper first; Gruppe 4: online first; Gruppe 5: concurrent mode]",,,cat
gip,Recruitment-18-II,Page 2,0,"Vielen Dank, dass Sie sich an unserer Befragung beteiligt und sich die Zeit dafür genommen haben.
Wir bedauern sehr, dass Sie an der Studie „Gesellschaft im Wandel“ nicht teilnehmen möchten. Eine Anmeldung ist aber selbstverständlich völlig freiwillig. 
Bei einer Teilnahme an unseren regelmäßigen Befragungen haben Sie die Möglichkeit, eine Grundlage für politische Entscheidungen und gesellschaftliche Veränderungen zu liefern. Nur zufällig ausgewählte Personen können an der Studie „Gesellschaft im Wandel“ teilnehmen, weshalb Sie für uns unersetzlich sind. 
Selbstverständlich erhalten Sie für Ihre Teilnahme an unseren regelmäßigen Befragungen eine Aufwandsentschädigung: Für jede abgeschlossene Befragung bekommen Sie 4 Euro als kleines Dankeschön. Sie erhalten zudem 5 Euro pro Jahr zusätzlich, wenn Sie an fünf Befragungen im Jahr teilnehmen und 10 Euro zusätzlich, wenn Sie an allen 6 Befragungen im Jahr mitmachen. Unsere nächste Befragung findet schon in diesem Monat statt.
Sollten Sie doch an unserer Studie teilnehmen wollen, so können Sie einfach auf „Zurück“ gehen und Ihre Antwort ändern. 
Ihr Forschungsteam der Universität Mannheim",,,,,,,RQD3027 = 2 (wenn Befragte/-r keine weiteren Einladungen erhalten möchte),,,txt
gip,Recruitment-18-II,Page 3,0,"Sehr geehrte/r Frau/Herr [Vorname] [Nachname], 
wir freuen uns über Ihre Teilnahme an der Studie „Gesellschaft im Wandel“.

Um sicherzugehen, dass keine Verwechslung und kein technischer Fehler vorliegen, geben Sie bitte an, ob Sie [Vorname] [Nachname] oder eine andere Person sind",,1-3-respondent,Ihre persönlichen Angaben können Sie bei Bedarf jederzeit nach Anmeldung auf der Homepage aktualisieren.,,Ihre persönlichen Angaben können Sie bei Bedarf jederzeit nach Anmeldung auf der Homepage aktualisieren.,,,,,cat
gip,Recruitment-18-II,Page 4,0,"Sie haben angegeben, dass Sie nicht Frau/Herr [Vorname] [Nachname] sind. 
Bitte überprüfen Sie, ob die E-Mail, die Sie erhalten haben, tatsächlich an Sie adressiert war. 
Sollten Sie Hilfe benötigen, rufen Sie bitte unsere Hotline 0800-5892604 an (Montag bis Samstag 8:00 bis 20:00 Uhr sowie Sonntag 10:00 bis 18:00 Uhr, kostenlos aus dem deutschen Fest- und Mobilfunknetz) oder schicken Sie uns eine E-Mail an info@gesellschaft-im-wandel.de. 
Wir helfen Ihnen gerne weiter!",,,,,,,RQD3010 = 3 (wenn Befragte/-r eine andere Person ist),,,txt
gip,Recruitment-18-II,Page 5,0,Tragen Sie Ihren Vor- und Nachnamen bitte in korrekter Schreibweise ein.,,,,,,,RQD3010 = 2 (wenn Name des Befragten falsch geschrieben ist oder sich geändert hat) ,,,txt
gip,Recruitment-18-II,Page 5,1,Vorname:,,,,,,,,,,chr
gip,Recruitment-18-II,Page 5,2,Nachname:,,,,,,,,,,chr
gip,Recruitment-18-II,Page 6,0,"Wie angekündigt, bieten wir Ihnen für Ihre Studienteilnahme eine Aufwandsentschädigung an. Für jede Befragung, an der Sie teilnehmen, erhalten Sie 4,- Euro. Zusätzlich erhalten Sie einen Bonus von 5,- Euro, wenn Sie fünf Befragungen im Jahr ausfüllen und 10,- Euro, wenn Sie an allen sechs Befragungen der Studie im Jahr teilnehmen. 
Ihr angesammeltes Guthaben wird zweimal im Jahr an Sie ausgezahlt, einmal Ende April und einmal Ende Oktober. Die Auszahlung erfolgt entweder als Überweisung auf Ihr Konto oder als Einkaufsgutschein für den Onlinehändler Amazon, den wir Ihnen per E-Mail zusenden. Gerne spenden wir Ihr Guthaben auch für Sie an eine gemeinnützige Organisation. Die Spenden kommen in gleichen Teilen dem Deutschen Roten Kreuz, SOS Kinderdorf und WWF Deutschland zu Gute.
Bitte geben Sie an, wie Sie Ihr Guthaben ausgezahlt haben möchten. In Ihrem persönlichen Studienprofil können Sie Ihre Auswahl jederzeit wieder ändern. Dort sehen Sie auch den aktuellen Stand Ihres Studienkontos.",,1-3-incentive,,,,,,,,cat
gip,Recruitment-18-II,Page 7,0,Geben Sie bitte Ihre Bankverbindung an.,,,Bitte füllen Sie die Felder vollständig aus.,,Bitte füllen Sie die Felder vollständig aus.,,RQB3010 = 1 (wenn Befragte/-r Überweisung auf Konto möchte),,,txt
gip,Recruitment-18-II,Page 7,1,IBAN:,,,,,,,,,,chr
gip,Recruitment-18-II,Page 7,2,BIC:,,,,,,,,,,chr
gip,Recruitment-18-II,Page 7,3,Name der Bank:,,,,,,,,,,chr
gip,Recruitment-18-II,Page 7,4,Vollständiger Name des Kontoinhabers:,,,,,,,,,,chr
gip,Recruitment-18-II,Page 8,0,"Nennen Sie uns bitte eine Mobilfunknummer (Handy), unter der wir Sie im Rahmen der Studie   erreichen können.",,1-3-handy,,,,,RQA3007 = . und RQA3008 = . (falls keine Mobilfunknummer in Teil 1 online oder beim E-Mail/ Mobilfunknummer-Check nach dem Papierfragebogen angegeben wurde),,,cat
gip,Recruitment-18-II,Page 9,0,Nennen Sie uns bitte eine Festnetznummer unter der wir Sie im Rahmen der Studie erreichen können (mit Vorwahl).,,1-3-landline,,,,,,,,cat
gip,Recruitment-18-II,Page 10,0,"Bitte überprüfen Sie noch, ob Ihre Adresse korrekt ist.
Adresse: [Straße] [Hausnummer] 
[Postleitzahl] [Ort]",,1-2-address,,,,,,,,cat
gip,Recruitment-18-II,Page 11,0,Bitte tragen Sie Ihre korrekte Adresse ein.,,,,,,,RQD3030 = 2 (wenn Adresse nicht korrekt ist),,,txt
gip,Recruitment-18-II,Page 11,1,Straße:,,,,,,,,,,chr
gip,Recruitment-18-II,Page 11,2,Hausnummer:,,,,,,,,,,chr
gip,Recruitment-18-II,Page 11,3,Postleitzahl:,,,,,,,,,,int
gip,Recruitment-18-II,Page 11,4,Ort:,,,,,,,,,,chr
gip,Recruitment-18-II,Page 12,0,"Im Folgenden möchten wir Sie bitten, einige Fragen zu Ihrer Person zu beantworten.

Wo sind Sie geboren?",,1-3-geboren,,,,,RQB3018 > 1945 (wenn Befragte/-r nach 1945 geboren wurde) oder Papierfragebogen ausgefüllt hat,,,cat
gip,Recruitment-18-II,Page 13,0,"Im Folgenden möchten wir Sie bitten, einige Fragen zu Ihrer Person zu beantworten.

Wo sind Sie geboren?",,1-3-geboren2,,,,,RQB3018 <= 1945 (wenn Befragte/-r 1945 oder früher geboren wurde),,,cat
gip,Recruitment-18-II,Page 14,0,Wo in Deutschland sind Sie geboren?,,1-16-bundesland,,,,,RQD3017 = 1 (wenn Befragte/-r nach 1945 in Deutschland geboren wurde),,,cat
gip,Recruitment-18-II,Page 15,0,Welchen Familienstand haben Sie?,,1-7-familienstand,,,,,,,,cat
gip,Recruitment-18-II,Page 16,0,"Wie viele Personen leben ständig in Ihrem Haushalt, Sie selbst eingeschlossen?		
Zu Ihrem Haushalt zählen alle Personen, die hier gemeinsam wohnen und wirtschaften.
Denken Sie dabei bitte auch an alle im Haushalt lebenden Kinder.",,,Bitte tragen Sie Ihre Antwort in das Feld ein.,,Bitte tragen Sie Ihre Antwort in das Feld ein.,,,,,int
gip,Recruitment-18-II,Page 17,0,Lebt Ihr/-e Ehepartner/-in in Ihrem Haushalt?,,1-2-ja-nein,,,,,RQD3020 = 2 und RQD3021 != 1 (wenn Befragte/-r verheiratet ist und nicht alleine wohnt),,,cat
gip,Recruitment-18-II,Page 18,0,Lebt Ihr/-e eingetragene/-r Lebenspartner/-in in Ihrem Haushalt?,,1-2-ja-nein,,,,,RQD3020 = 5 und RQD3021 != 1 (wenn Befragte/-r Befragte/-r in eingetragener Lebenspartnerschaft lebt und nicht alleine wohnt),,,cat
gip,Recruitment-18-II,Page 19,0,Ist eines Ihrer Haushaltmitglieder Ihr Lebenspartner / Ihre Lebenspartnerin?,,1-2-ja-nein,,,,,"RQD3020 = 1, 3, 4, 6, 7 und RQD3021 != 1 (wenn Befragte/-r  nicht alleine wohnt und nicht verheiratet ist oder in eingetragener Lebenspartnerschaft lebt)",,,cat
gip,Recruitment-18-II,Page 20,0,Haben Sie die deutsche Staatsangehörigkeit?,,1-4-citizenship,,,,,,,,cat
gip,Recruitment-18-II,Page 21,0,Haben Sie die deutsche Staatsangehörigkeit seit Geburt oder erst später erworben?,,1-2-citizenship,,,,,"RQB3007 = 1, 2 (wenn Befragte/-r die deutsche Staatsangehörigkeit hat)",,,cat
gip,Recruitment-18-II,Page 22,0,Welche ausländische/-n Staatsangehörigkeit/-en besitzen Sie?,,,Bitte geben Sie alle Zutreffenden an.,,Bitte geben Sie alle Zutreffenden an.,,"RQB3007 = 2, 3 (wenn Befragte/-r eine mindestens eine andere Staatsangehörigkeit hat)",,,txt
gip,Recruitment-18-II,Page 22,1,Türkei,,,,,,,,,,bin
gip,Recruitment-18-II,Page 22,2,Polen,,,,,,,,,,bin
gip,Recruitment-18-II,Page 22,3,Syrien,,,,,,,,,,bin
gip,Recruitment-18-II,Page 22,4,Italien,,,,,,,,,,bin
gip,Recruitment-18-II,Page 22,5,Rumänien,,,,,,,,,,bin
gip,Recruitment-18-II,Page 22,6,Kroatien,,,,,,,,,,bin
gip,Recruitment-18-II,Page 22,7,Griechenland,,,,,,,,,,bin
gip,Recruitment-18-II,Page 22,8,Bulgarien,,,,,,,,,,bin
gip,Recruitment-18-II,Page 22,9,Afghanistan,,,,,,,,,,bin
gip,Recruitment-18-II,Page 22,10,Russische Föderation,,,,,,,,,,bin
gip,Recruitment-18-II,Page 22,11,Irak,,,,,,,,,,bin
gip,Recruitment-18-II,Page 22,12,"Anderes Land, und zwar (bitte eintragen): [answer field]",,,,,,,,,,bin
gip,Recruitment-18-II,Page 23,0,Hat Ihre Mutter die deutsche Staatsangehörigkeit?,,1-3-citizenship,,,,,RQD3017 = 1 oder (RQD3018 = 1 und RQB3019 = 1) (wenn Befragte/-r nach 1945 in Deutschland geboren wurde oder wenn Befragte/-r vor 1945 in Deutschland geboren wurde und die deutsche Staatsangehörigkeit seit Geburt hat),,,cat
gip,Recruitment-18-II,Page 24,0,Hat Ihr Vater die deutsche Staatsangehörigkeit?,,1-3-citizenship,,,,,RQD3017 = 1 oder (RQD3018 = 1 und RQB2019 = 1) (wenn Befragte/-r nach 1945 in Deutschland geboren wurde oder wenn Befragte/-r vor 1945 in Deutschland geboren wurde und die deutsche Staatsbürgerschaft seit Geburt hat),,,cat
gip,Recruitment-18-II,Page 25,0,"In der vorherigen Befragung haben Sie uns bereits Auskunft über Ihre Internetnutzung gegeben. Zum Abschluss dieser Befragung interessiert uns Ihre Meinung zum Thema Technologie und Internet.  Im Folgenden erscheinen einige Aussagen, denen Sie zustimmen oder die Sie ablehnen können. Dabei gibt es keine richtige oder falsche Antwort, es geht ausschließlich um Ihre persönliche Meinung.
Bitte geben Sie an, inwieweit Sie der folgenden Aussage zustimmen oder sie ablehnen.

Für mich ist es spannend, neu erfundene Technologien oder Geräte auszuprobieren.",,1-5-tech,,,,,,,,cat
gip,Recruitment-18-II,Page 26,0,"Bitte geben Sie an, inwieweit Sie der folgenden Aussage zustimmen oder sie ablehnen.

Für mich vereinfacht das Internet die Kommunikation mit anderen Menschen.",,1-5-zustimmen,,,,,,,,cat
gip,Recruitment-18-II,Page 27,0,"Bitte geben Sie an, inwieweit Sie der folgenden Aussage zustimmen oder sie ablehnen.

Für mich ist das Internet eine Bedrohung für die persönliche Privatsphäre.",,1-5-zustimmen,,,,,,,,cat
gip,Recruitment-18-II,Page 28,0,"Bitte geben Sie an, inwieweit Sie der folgenden Aussage zustimmen oder sie ablehnen.

Für mich ist es einfach einzuschätzen, ob Nachrichten aus dem Internet stimmen.",,1-5-zustimmen,,,,,,,,cat
gip,Recruitment-18-II,Page 29,0,"Bitte geben Sie an, inwieweit Sie der folgenden Aussage zustimmen oder sie ablehnen.

Man sollte seine Meinung im Internet anonym äußern dürfen.",,1-5-zustimmen,,,,,,,,cat
gip,Recruitment-18-II,Page 30,0,"Wenn ich Probleme mit den Geräten habe, während ich das Internet nutze, kann ich diese Probleme lösen.",,1-4-zeitangabe,,,,,,,,cat
